Titulo,Codigo_respuesta,Links,Imagenes
"No, la COVID-19 no es un exosoma y la pandemia no se relaciona con las señales de 5G",1,78,5
"La OMS desaconseja el uso de plasma de pacientes convalecientes para tratar la COVID-19
",1,119,8
¡Cuidado! Es falsa la receta médica contra el COVID-19 que circula en redes sociales,1,35,2
Access Denied,0,0,0
Una dudosa hipótesis sobre el coronavirus que intenta abrirse paso,1,23,2
Mensajes engañan sobre uso de enjuagues con solución salina como supuesta protección contra el COVID-19,1,124,20
El bulo de que una dieta alcalina previene el contagio de coronavirus,1,97,29
"
La Policía Local de Sant Joan de Moró difunde falsedades sobre la vacuna 
",1,173,97
Falso que Israel no tiene muertes de COVID-19 por té de bicarbonato con limón,1,149,5
El falso vídeo de un padre gritando y un niño que “muere por la vacuna de la COVID-19” en Brasil,1,113,50
"Bolsonaro usó datos falsos para afirmar que Brasil ""inflaba"" las muertes por covid",1,84,7
"El bulo sobre la aguja que ""no se ve"" en las vacunas contra el coronavirus",1,287,10
Clínica clandestina en Ecuador aplicó más de 70.000 dosis falsas de la vacuna contra el coronavirus,1,187,13
Not Acceptable!,0,0,0
Los test de PCR no provocan “daño en la barrera hematoencefálica”,1,70,5
DW verifica: ¿muertes masivas por culpa de las vacunas contra el coronavirus?,1,249,9
Es falso que Chile donó vacunas con alteraciones al Ecuador,1,87,22
Es falso que el fisicoculturista Doug Brignole murió a causa de la vacuna contra la COVID-19,1,65,2
Es falso que una prueba PCR para coronavirus puede dar positivo a otros 52 virus diferentes,1,73,5
Las afirmaciones falsas de la imagen que dice lo que te “debe explicar el médico antes de vacunar” a tu hijo “contra la Covid”,1,130,29
"
Sanidad no te comunica estar seleccionado para recibir otra dosis de la vacuna anti COVID-19, es un fraude
",1,174,99
Las desinformaciones del audio que afirma que con la tercera dosis los casos de cáncer han subido un 5.000%,1,115,31
"No, el creador de los test PCR no dijo que estos no detectan el nuevo coronavirus",1,73,5
"
Este vídeo del zumo de naranja no demuestra la invalidez de los test de antígenos
",1,161,97
"Las afirmaciones falsas de The Big Reset sobre la pandemia, la PCR y las vacunas contra la COVID-19",1,146,32
Not Acceptable!,0,0,0
"
No es cierto que la mitad de los atletas vacunados contra la COVID-19 sufran miocarditis
",1,170,99
¿Qué sabemos del mensaje de un supuesto chat de médicos especialistas en COVID-19 de Milán (Italia)?,1,91,23
Es falso que el Tribunal Supremo de Estados Unidos haya confirmado “daños irreparables por las vacunas contra la covid”,1,121,134
"
Es falso que Aduanas esté reteniendo test de antígenos de la Comunidad de Madrid
",1,152,97
"Ni Alemania ha descubierto la cura del coronavirus, ni la causa de la enfermedad es una bacteria, ni la OMS ha prohibido hacer autopsias",1,102,24
Las imágenes de una concentración de pilotos de Southwest en EE. UU. son de una protesta laboral y no por la vacunación contra la COVID-19,1,121,54
"
Ninguna aseguradora de Francia se ha negado a indemnizar un fallecimiento por considerar suicidio su vacunación
",1,166,98
"No, no es cierto que la Cruz Roja estadounidense prohíba donar sangre a las personas vacunadas contra la COVID-19",1,95,23
Michael Yeadon: el empleado de Pfizer hasta 2011 que difunde afirmaciones sin pruebas sobre las vacunas y la COVID-19,1,129,50
"
Las vacunas anticovid no causan daños permanentes ni un reinicio genético del sistema inmune en niños
",1,172,97
Las afirmaciones falsas y negacionistas de Ana María Oliva sobre el SARS-CoV-2 y la pandemia por COVID-19,1,124,29
Hugo Maradona no murió por la vacuna de la covid-19,1,112,9
No hay evidencias de que a la reina de Inglaterra le hayan administrado ivermectina para tratar la COVID-19,1,113,54
"
Este decálogo contra la vacunación infantil contiene datos falsos
",1,168,101
