Titulo,Codigo_respuesta,Links,Imagenes
"Las afirmaciones falsas de este vídeo de Leonardo González Bayona, miembro del grupo negacionista 'Médicos por la Verdad' en Argentina, sobre las vacunas contra la COVID-19",1,116,33
El ‘Kun’ Agüero no deja el fútbol por culpa de la vacuna contra la covid-19,1,109,10
El vídeo que muestra un supuesto cadáver moviéndose no tiene que ver con la COVID-19: es parte de una manifestación por el clima en Austria,1,99,50
"
Este documento de la UE sobre pasaporte de vacunación no muestra planificación previa de la pandemia
",1,167,98
"Cuidado con el contenido que dice que ha aumentado un 366% la ""pérdida de bebés"" en el Reino Unido porque las madres recibieron la vacuna contra la COVID-19",1,93,27
Es falso el cartel que pide donar órganos de niños en un punto de vacunación covid-19,1,109,10
El vídeo del profesor italiano que se prendió fuego frente a una estación policial no guarda relación con las vacunas COVID-19,1,109,54
"
Este maniquí es de unas prácticas médicas en Canadá, nada que ver con ómicron
",1,162,101
Las afirmaciones falsas del vídeo de Ricardo Delgado Martín en el que dice que el óxido de grafeno es el causante de la COVID-19,1,125,29
Italia no ha reducido el número de muertos por la covid-19 en un 97 %,1,114,10
Es falso que la luz ultravioleta pueda “predecir” el resultado de un test de antígenos: lo que brilla son los anticuerpos de la propia prueba,1,92,50
"
Ómicron no es una cepa con lanzamiento planeado para 2022, es un bulo
",1,164,99
Las afirmaciones falsas del vídeo de Juan Zaragoza en el que dice que la proteína S que generan las vacunas contra la COVID-19 es tóxica y daña los tejidos,1,110,31
Médicos bolivianos no han amenazado con destruir vacunas contra la covid-19,1,105,8
"
Este trabajador no se desmaya ante el príncipe Carlos por la vacuna anticoronavirus, es un bulo
",1,161,99
Es falso que 900.000 peruanos se contagiarán de hepatitis por la vacuna anticovid-19,1,107,10
"No, Ecuador no ha descubierto la cura del coronavirus ni el Ministerio de Salud ecuatoriano ha dicho que la causa de la enfermedad es una bacteria amplificada con 5G",1,87,23
"
AstraZeneca no fabricó la vacuna contra el coronavirus en 2018
",1,158,97
Los asintomáticos no son personas sanas y sí pueden contagiar la covid-19,1,107,8
El vídeo de un hombre herido con humo en la cara ni ocurrió en Colombia ni tiene relación con la COVID-19,1,108,54
11 afirmaciones falsas sobre la pandemia y la vacuna contra la COVID-19 que difunde María José Albarracín,1,113,29
"
Beber Betadine no mata el coronavirus (y cómo mofarse de esta idea la extendió)
",1,196,102
Los vacunados contra la covid-19 no dejan de ser humanos ni pierden sus derechos,1,103,8
"No, la trometamina de la vacuna de Pfizer no es un “ingrediente secreto“ que se usa “para evitar ataques cardíacos en niños”",1,105,50
Las afirmaciones falsas del médico negacionista italiano Pasquale Bacco sobre la pandemia y el tratamiento de la COVID-19,1,108,29
"
Estos enfermos de coronavirus en Australia no son actores, es un bulo
",1,158,97
El dióxido de cloro no cura la covid-19 como recomienda la modelo colombiana Natalia París,1,112,9
Las afirmaciones falsas sobre la esterilidad y la aprobación de las vacunas de la COVID-19 del vídeo de Pedro Varela,1,150,54
"No, los bebés que aparecen en este vídeo no son ""transhumanos"" porque sus madres se han vacunado frente a la COVID-19 ni sus ""genes"" pertenecen a las farmacéuticas",1,152,23
"
No hay pruebas de que las vacunas contra la Covid-19 causen un aumento de muertes en Portugal
",1,174,110
Es falso que alguna de las vacunas contra la covid-19 pueda destruir el sistema inmunitario,1,110,8
"No, el gobierno de Reino Unido no ha admitido que las vacunas Covid dañen el sistema inmunológico",1,95,50
Las afirmaciones falsas de Arturo Vinuesa sobre el coronavirus y la COVID-19,1,101,29
"
El informe de PCR positiva de Salvador Illa es falso
",1,170,110
La gripe común no ha desaparecido con la llegada de la covid-19,1,122,8
La OMS no ha dicho que la variante ómicron se transmite por contacto visual,1,104,52
El bulo que dice que han aumentado un 5.400% los abortos de mujeres que se vacunaron contra la COVID-19 en el Reino Unido,1,92,27
"
Ni protestan contra las vacunas ni fumigan a los antivacunas en estos vídeos de Rumanía
",1,166,98
Los falsos remedios del mensaje viral para tratarse la covid-19 sin ir al médico,1,106,8
"Es falso que Ugur Sahin, director ejecutivo de BioNTech, no se haya vacunado contra la COVID-19",1,99,50
"No, este reglamento del BOE no ""especifica"" que las vacunas contra la COVID-19 son ""organismos de modificación genética"": algunas vacunas contienen organismos que se han modificado genéticamente (OMG), pero estos no alteran nuestro ADN",1,106,25
"
Estas cajas no son de vacunas mal almacenadas, están vacías
",1,155,99
"El zumo de manzana no da positivo en covid-19, es un vídeo engañoso",1,120,8
Las afirmaciones falsas o sin evidencias de Robert Malone sobre la vacunación frente a la COVID-19 en niños,1,110,50
"No, no ha fallecido una niña de dos años en Virginia (EEUU) tras recibir la segunda dosis de la vacuna de Pfizer contra la COVID-19",1,95,26
"
No hay pruebas de que estas uñas moradas se deban a la vacuna 
",1,160,99
Es falso que la revista The Lancet niegue la existencia de la pandemia de COVID-19,1,109,8
Es falso que la variante ómicron no haya sido aislada y que las PCR no sirvan para detectarla,1,104,50
"No, la OMS no ha declarado oficialmente la COVID-19 como una infección endémica a 26 de agosto de 2021",1,102,25
"
No, la vacuna contra el coronavirus no provoca impotencia ni hincha los testículos
",1,161,99
Ninguna vacuna tiene tasa de mortalidad y menos aún superior a la COVID-19,1,122,8
"No, Israel no ha dejado el EuroMOMO ni los datos reflejan un incremento alarmante de exceso de mortalidad tras la campaña de vacunación contra la COVID-19",1,108,33
"
Vacunas COVID-19: ni reducen el pene, ni modifican el número de espermatozoides, ni hacen eyacular más
",1,162,99
El coronavirus de la COVID-19 no existe desde hace 17 años,1,108,8
"No, no podemos saber si estamos ""libres"" de COVID-19 conteniendo la respiración y otros trucos que no funcionan para prevenir o combatir la enfermedad",1,110,29
"
Los pilotos de avión no están cayendo por una reacción a la vacuna de la COVID-19
",1,169,101
Ningún colegio de médicos es autor de la carta viral de concienciación frente a la COVID-19,1,113,8
"Es falso que Thomas Jendges, director de una clínica en Alemania, dejara una nota de suicido denunciando “las mentiras sobre la vacuna”",1,101,50
