Titulo,Codigo_respuesta,Links,Imagenes
"
  Procuraduría alerta sobre el aumento de casos de Covid-19 en Guainía
",1,105,13
"
  Universidad del Tolima fue cerrada por contagios de Covid-19
",1,105,13
"
  Covid-19: Educadores de Santander denuncian fallecimientos por falta de atención médica 
",1,105,13
"
  El ABC de las vacunas y en qué van las candidatas contra el Covid-19
",1,105,13
"
  Covid-19: así funcionan los pagos de compensación del Gobierno por aislamiento
",1,105,13
 ¿Por qué las pruebas rápidas no sirven para diagnosticar COVID-19?,1,116,9
" Colegios en alternancia reportan casos de coronavirus, en Medellín",1,114,9
 Los muertos por Covid-19 a nivel mundial ya suman 916 mil,1,114,9
 Venezuela comenzará vacunación contra covid-19 entre diciembre y enero,1,113,9
" ""Bogotá no está teniendo una segunda ola de Covid"": Claudia López",1,113,9
 Niños tendrían anticuerpos de Covid-19 y coronavirus en su sistema a la vez,1,116,10
 ¿La Covid-19 afecta la fertilidad femenina?,1,50,0
 Segunda oleada de Covid-19 afectaría a quienes no se han contagiado,1,114,10
" Maggie, la niña portadora prolongada de Covid-19",1,116,10
 Conozca el protocolo para evitar contagiarse de Covid-19 en espacio público ,1,115,9
 Antioquia está reportando más casos diarios de covid-19 que Bogotá ¿por qué?,1,115,12
"

Mosquitos no transmiten el covid-19
",1,49,2
Madrid amplía sus restricciones para contener el covid-19,1,14,0
"

Cómo recuperarse de la caída del cabello por el covid-19
",1,49,2
"

Latinoamérica supera ocho millones de casos covid-19
",1,51,2
404 Not Found,0,0,0
Covid-19 sigue mantiendo su crecimiento en Rusia,1,15,0
"

476 millones de indígenas en el mundo afectados por Covid-19
",1,50,2
"

Piden al Invima garantizar fármacos para tratar covid-19
",1,50,2
404,0,103,4
404,0,103,4
404,0,103,4
Se inicia estudio para conocer el porcentaje de personas infectadas con COVID-19 en Bogotá,1,116,5
Alertan por falsas vacunas contra el covid-19 promocionadas en internet,1,149,9
Anuncian incentivo a pequeÃ±os productores de papa afectados por pandemia,1,147,10
AsÃ­ es la estrategia DAR del Distrito para evitar la propagaciÃ³n del covid-19,1,28,0
Cada dÃ­a en el paÃ­s se reciben 349 quejas por atenciÃ³n a pacientes con covid-19,1,28,0
Cartagena registra una reducciÃ³n en la ocupaciÃ³n de camas UCI por covid-19,1,150,10
Cinco ciudades de Colombia fueron escogidas para ensayo de vacuna contra el covid,1,153,9
Con drÃ¡sticas restricciones Inglaterra busca frenar el covid-19,1,151,10
El costo de curar: unos 7.000 trabajadores de la salud han muerto por covid-19 en el mundo,1,27,0
EE.UU. ya no considera necesarias las pruebas de covid-19 en asintomÃ¡ticos,1,27,0
EjÃ©rcito suizo ayudarÃ¡ a combatir el aumento de contagios por covid-19,1,152,10
"Â¡Una fuga fugaz!, preso con covid se escapÃ³ del hospital, pero la libertad le durÃ³ 3 horas",1,26,0
Joven en BogotÃ¡ no volviÃ³ a caminar despuÃ©s de contagiarse de covid,1,151,9
Laboratorios del paÃ­s se adaptarÃ­an para envasar vacuna contra el covid-19,1,27,0
MÃ©dico del Hospital de Kennedy falleciÃ³ por cuenta del coronavirus,1,27,0
La mitad de Europa multiplica acciones para combatir el covid-19,1,151,10
Ni la muerte los separÃ³: esposos en MedellÃ­n fallecieron por covid-19,1,152,9
Piden cerrar hospital de Corferias para comprar vacuna contra covid-19,1,27,0
Â¿ReinfecciÃ³n por covid-19? El curioso caso de una enfermera contagiada,1,150,9
Rusia entrega vacuna contra covid-19 a la OMS para su precalificaciÃ³n,1,152,10
Rusia estÃ¡ en alarma por rÃ©cord de contagios y muertes por covid-19,1,151,10
Â¿Son los niÃ±os grandes transmisores del covid-19? Esto dice la ciencia,1,151,10
Canal RCN | Nuestra Tele - TelevisiÃ³n y Entretenimiento,1,213,83
¿Pueden vacunarse los pacientes recuperados de la covid-19?,1,110,8
Colombia refuerza medidas de protección por incremento en casos de covid-19,1,276,27
El contagio por covid-19 continúa: MinSalud pide no bajar la guardia ante el virus ,1,191,13
Las protestas se multiplican en China contra la política de 'cero covid',1,287,27
Actualidad,1,347,40
COVID-19: los gobiernos europeos empiezan a preocuparse,1,125,20
403 ERROR,0,0,0
Pico de covid-19: ¿habrá nueva vacunación masiva en Colombia? ,1,269,24
COVID-19: Minsa evalúa regreso de medidas sanitarias ante eventual quinta ola,1,117,18
En Sucre vuelven a exigir el uso del tapabocas por casos de covid-19; “la gente no quiere vacunarse”: dicen las autoridades,1,187,11
" Carla Vizzotti habló sobre el Covid-19 en Argentina y pidió aplicarse refuerzos
        ",1,147,20
Suiza prolonga ley de prevención contra Covid-19,1,189,68
Covid-19 en Colombia: del 18 al 24 de noviembre se registraron 2.112 nuevos contagios,1,126,18
"Esto es lo que se sabe de “Xilbalbá”, la variante COVID-19 que azota Yucatán",1,116,19
"Así debería llevarse el esquema de vacunación contra la Covid 19, según nuevas modificaciones",1,184,13
"
                        China supera los 40.000 contagios diarios de covid, el 90 % asintomáticos
        ",1,172,37
"Covid-19: Colombia cuenta con suficientes biológicos, dice Minsalud",1,267,24
Los síntomas de la COVID-19 con las nuevas variantes “perro del infierno” y “pesadilla”,1,123,20
MinSalud pidió precaución: aumento de covid-19 coincidió con pico respiratorio,1,179,13
Covid-19 en Colombia: Ministerio de Salud pide seguir usando tapabocas ante llegada de nuevas variantes,1,115,16
¿Puedo beber alcohol antes y despúes de vacunarme contra la covid-19?,1,103,8
Aumentan los casos de la COVID-19 en Bolivia y detectan la variante ‘Perro del infierno’,1,111,29
403 ERROR,0,0,0
"'Perro del infierno': evade mejor los anticuerpos de la vacuna, según estudio",1,271,25
Covid-19: Japón autoriza el primer fármaco de producción doméstica,1,267,24
403 ERROR,0,0,0
Pico de covid-19: ¿cuántas vacunas hay disponibles en Colombia?,1,263,20
"

La UE aprieta para que el covid sea enfermedad profesional entre sanitarios 
",1,253,58
"Contagios y reuniones de fin de año: cómo impacta la suba de casos de COVID, gripe y bronquiolitis en América Latina",1,126,23
Ecuador es el tercer país de la región con mayor esperanza de vida,1,68,19
"Covid-19: por el pico de casos en Brasil, intensifican la vigilancia a viajeros en Córdoba",1,254,60
Detectaron en Chile las variantes “Perro del infierno” y “La pesadilla” del covid y temen un nuevo alza de casos,1,123,18
"
Especialistas advierten posible llegada a Chile de nueva variante del Covid-19 detectada en PerÃº
",1,227,49
COVID-19: cuÃ¡l es la nueva cepa que aumenta los casos en Brasil,1,55,7
Chile reporta más de 7.000 nuevos casos de Covid-19,1,120,54
Covid-19 en Colombia: del 30 de septiembre al 6 de octubre se registraron 715 nuevos contagios,1,125,19
¿Terminó ya la pandemia de covid? Los expertos opinan,1,202,18
 ¿A quiénes se aplica la cuarta dosis de la vacuna contra COVID-19 en Bogotá?,1,178,86
"
Estrés, ansiedad y depresión puede aumentar posibilidades de covid-19 a largo plazo
",1,149,14
Duque anuncia fin de la emergencia sanitaria por covid-19 a partir de julio en Colombia,1,169,18
 Muertes por covid-19 siguen aumentando en el paÃ­s en medio del quinto pico de contagios ,1,145,22
Alcaldía de Santiago de Cali,1,293,18
"Whoops, looks like something went wrong.",0,1,0
