Titulo,Codigo_respuesta,Links,Imagenes
"Los CDC estiman que más pacientes necesitarán anticoagulantes, pero NO por la vacuna contra el covid-19 ",1,138,13
“Están publicando fotos de lesiones cutáneas por el virus varicela-zóster y afirman que es la viruela del mono. Por cierto el Herpes Zóster es una reacción adversa de las vacunas Covid-19”: #Engañoso,1,215,17
"No hay pruebas para decir que se están inflando los contagiados y muertos, como dice este video viral",1,94,5
Un nuevo estudio NO comprueba que vacunarse contra el covid-19 haga a la leche materna peligrosa ,1,150,13
La hidroxicloroquina sirve para curar el Covid-19 y la viruela del mono: #Falso,1,209,15
Son falsas estas afirmaciones de un nuevo video de “Médicos por la Verdad” (II),1,80,7
"No, el agua alcalina hidrogenada no mejora los síntomas del COVID-19",1,86,5
Las afirmaciones falsas o sin evidencia científica del profesor Joan-Ramon Laporte sobre las vacunas contra la COVID-19 en el Congreso de España,1,116,7
Las muertes por fentanilo en Arizona NO superan decesos por covid-19 como asegura Kari Lake,1,115,13
Se publicó una ley que prohíbe la discriminación frente a mutaciones genéticas por la vacunación contra el covid-19: #Engañoso,1,212,15
Son falsas las afirmaciones de Javier Calamaro sobre el coronavirus y las vacunas contra la COVID-19,1,103,5
"Los CDC estiman que más pacientes necesitarán anticoagulantes, pero NO por la vacuna contra el covid-19 ",1,138,13
El presentador brasileño Rafael Silva se administró la tercera dosis de la vacuna Covid-19 y vivió pocos días para contarlo: #Falso,1,208,16
"Antena 3 no publicó que la vacuna española contra la COVID-19 protege contra el “sida, cáncer, ébola y virus aún no descubiertos”",1,94,54
Son falsas las afirmaciones de un médico uruguayo sobre las pruebas PCR y los asintomáticos (I),1,96,5
"La vacuna de Novavax es segura y eficaz, contrario a lo que dice un neumonólogo antivacunas ",1,155,13
Las declaraciones de Von der Leyen sobre el certificado COVID-19 que se difunden como actuales son de 2021,1,97,54
“El New York Times admitió que las personas no vacunadas tienen ‘tasas más bajas de infección y hospitalización’ de covid-19 que las personas vacunadas”: #Engañoso,1,197,15
Es falso que Reino Unido haya detenido la vacunación contra la covid en niños de 5 a 11 años,1,104,50
Son falsas las afirmaciones de Chinda Brandolino sobre el coronavirus emitidas en Plaza de Mayo,1,83,5
Es falso que este estudio demostró que los vacunados contra el covid-19 contagian por más tiempo que los no vacunados,1,133,13
Es falso que una “revelación de documentos” de Pfizer muestre que la vacuna contra la COVID-19 causa inmunosupresión,1,99,50
Por culpa de las vacunas el 2021 hubo más fallecidos por Covid-19 que el 2020: #Engañoso,1,197,16
Es falso que un nuevo estudio haya “demostrado” que las vacunas de ARNm modifiquen el ADN “en tan solo seis horas”,1,100,54
Es falso que la OMS haya asegurado que “quizás nunca hubo motivos para el confinamiento”,1,85,5
No hay evidencias de medio centenar de muertes de niños por la vacuna de Pfizer en EEUU,1,127,138
Covid-19 no ha matado a ningún político: #Falso,1,206,17
Es falso el posteo que presenta a una doctora santiagueña que lucha contra el coronavirus,1,75,5
Ningún tribunal español ha confirmado que la COVID-19 no existe ni ha llamado a declarar a la ministra de Sanidad,1,98,54
“La patente para testear el Covid-19 se registró en 2015”: #Falso,1,195,16
Es falso que la OMS prohíbe las autopsias a muertos por COVID-19 y que en Italia descubrieron que causa trombosis en vez de neumonía,1,82,5
“Cifras oficiales del Ministerio de Salud de la República Argentina muestra 43.119 vacunados muertos por Covid”: #Engañoso,1,195,15
Nada prueba que las vacunas anticovid aumenten el riesgo de infección por VIH,1,113,10
Es falso el video que afirma que Rusia encontró la cura contra el coronavirus,1,76,5
"Ni España, ni México ni Japón ni otros siete países de una lista viral han eliminado todos los protocolos anticovid ni lo consideran ya “gripe estacional”",1,172,54
Es falso el audio de López Obrador sobre dinero electoral y muertes por covid,1,117,9
El vídeo de la tenista Dalila Jakupovic en el que aparece asfixiada en un partido del Open de Australia no es actual,1,149,50
“En Israel el 84% de su población está vacunada y el 84% de los nuevos casos de Covid-19 son vacunados”: #Falso,1,197,16
Es falso que en Santiago del Estero cobran las vacunas contra el coronavirus en la factura de la luz,1,88,7
"No, no ha muerto un niño de 8 años por la vacuna contra la COVID-19 en Fuente Álamo (Murcia)",1,95,52
Las vacunas Covid-19 pueden producir síntomas de Parkinson y otros trastornos neurodegenerativos: #Engañoso,1,207,18
