Titulo,Codigo_respuesta,Links,Imagenes
"
Rusia dice que suministrará a Colombia su fármaco contra la covid-19
",1,165,0
Se registra la primera muerte por reinfección de covid-19 en el mundo,1,276,24
"
Estudio advierte que obesidad aumenta 48% riesgo de muerte por covid
",1,170,0
Instituto Nacional de Salud estudia inmunidad del covid-19 en Medellín,1,270,24
El ‘shock’ pandémico y los nuevos retos de América Latina,1,271,24
"
Putin le ofrece gratis a la ONU la vacuna rusa contra el covid-19
",1,165,0
"
Rusia empezará a distribuir su vacuna contra covid-19 el 10 de agosto
",1,165,0
Colombia registra 9.935 nuevos contagios y 155  muertes por covid-19,1,264,25
"
Van 10.105 fallecidos en el país por coronavirus; recuperados, 154.387
",1,164,0
"Buena noticia para Cristiano Ronaldo, tras superar el covid-19",1,271,24
Alci y Checo Acosta dieron positivo para covid-19,1,271,24
Reapareció médico chino a quien se le oscureció la piel por la covid,1,276,31
EE. UU. autorizó el remdesivir como tratamiento para la covid-19,1,266,19
Grave aumento de casos y muertes covid-19 en Meta desde la reapertura,1,271,25
En Cartagena investigan megafiesta clandestina en exclusiva isla,1,290,23
Por qué se dio el inquietante aumento del covid-19 en Israel,1,266,24
"
Las noticias falsas más absurdas sobre la vacuna contra el coronavirus
",1,178,0
"
Esta es la instancia que coordinará acceso a vacunas covid en el país
",1,164,0
Un equipo de fútbol completo entró en cuarentena por la covid-19,1,262,22
"
Los mitos que se han desvirtuado sobre el covid-19 desde su aparición
",1,167,0
Muertes confirmadas y sospechosas por covid-19 suman más de 41.000,1,261,24
Mutación genética del coronavirus podría hacerlo más contagioso,1,270,25
"
Profesora argentina muere por covid-19 cuando daba clase en Zoom
",1,172,0
Crece temor en EE. UU. después de récord de contagios,1,274,25
Así se detectan nuevos casos de covid-19 por medio de llamadas,1,238,17
"A San Andrés llegaron camas de UCI hace un mes, pero no se pueden usar",1,267,22
"
Fármacos para pacientes de covid, en riesgo de escasear, alerta Invima
",1,167,0
"
'Unidos para seguir cuidándote', la nueva estrategia contra el covid
",1,160,0
Diosdado Cabello regresa a la televisión tras superar el coronavirus,1,274,22
El giro de Burger King luego del impacto de la pandemia,1,253,14
Estratos bajos en Bogotá sienten con más rigor los efectos de la covid,1,261,25
