Titulo,Codigo_respuesta,Links,Imagenes
Putin defendió la vacuna rusa contra covid-19 ante la ONU ,1,28,0
Muertes por covid-19 en el mundo se acercan a los 810.000 casos este lunes,1,249,19
Bolsas de todo el mundo se 'disparan' ante anuncio de eficacia de vacuna contra covid-19,1,257,21
Las millonarias pérdidas del turismo mundial por crisis del covid-19,1,253,21
"Biden promete controlar el covid-19 en EE.UU. y Trump ofrece una ""superrecuperación""",1,253,21
"¿Qué tanto evitan los colombianos los eventos sociales por covid-19?, esto dice encuesta",1,257,21
"El Tour de Francia, en alerta roja a causa del Covid-19",1,28,0
"""Si los casos de covid-19 aumentan, tendremos que volver a cerrar sectores"": Sec. Salud",1,27,0
¿Por qué el Gobierno decidió dejar de pedir prueba PCR de covid-19 a los viajeros?,1,260,21
"Madrid, la región más golpeada por el rebrote de covid-19 en España",1,27,0
"""Por favor, les imploro, usen tapabocas"": Biden, ante altas cifras de covid-19 en EE.UU.",1,260,21
"El alcalde de Cusco, Perú, falleció este domingo por covid-19",1,249,19
"""Europa no puede ser nuestro referente en lucha contra covid-19"": Lyda Osorio",1,254,21
Inicia estudio de vacuna contra covid-19 en Cali,1,254,21
Duque anunció extensión del aislamiento selectivo hasta octubre,1,253,21
"Los 'mototaxis', un foco de riesgo para transmisión del covid-19 en Cali",1,251,20
Vacuna contra covid-19: ¿qué se sabe de la que se probará en Colombia?,1,25,0
Cali supera las 2000 muertes por covid-19 este domingo,1,252,19
 Fernando Gaviria vuelve a vivir la pesadilla del contagio de covid-19 ,1,146,23
" Cierres sectorizados, a la vista con la segunda ola de coronavirus ",1,144,23
Â¿CÃ³mo serÃ¡ el ensayo de la vacuna contra la covid-19? ,1,44,0
 CuÃ¡les son los tapabocas que menos funcionan contra la covid-19 ,1,143,24
" Por covid-19, cinco jugadores fueron retirados de Roland Garros ",1,140,22
 Zlatan Ibrahimovic da positivo en covid-19 ,1,139,21
AsÃ­ puede cuidarse del covid en esta nueva realidad,1,45,0
" LatinoamÃ©rica tiene asegurada dosis de vacunas ante la covid-19, segÃºn la OMS ",1,142,22
OMS reacciona con cautela a la vacuna contra la covid-19 que desarrolla Rusia,1,45,0
 La U. de A. evaluarÃ¡ en Antioquia vacuna contra covid-19 ,1,146,23
 Esto es lo que se sabe sobre la covid-19 y lo que no estÃ¡ comprobado ,1,48,3
 Â¿QuÃ© papel juegan los mocos en la defensa del cuerpo contra la covid-19?  ,1,146,23
 MedellÃ­n realiza pruebas gratis de covid-19 en estas comunas ,1,143,23
"Gobernador (e) de Antioquia, hospitalizado por covid-19",1,45,0
 MbappÃ© da positivo por covid-19 y serÃ¡ baja de Francia ante Croacia ,1,138,22
 Facebook y Twitter vetan a Trump por âdesinformar sobre la covid-19â ,1,149,22
"FalleciÃ³ el alcalde de TarazÃ¡, Miguel Ãngel GÃ³mez, por covid-19",1,43,0
 Cristiano Ronaldo vuelve a dar positivo al covid-19 ,1,141,22
 EE. UU. bate rÃ©cord de contagios por covid-19 por tercer dÃ­a consecutivo ,1,147,22
Los Madame Tussauds buscan nuevas ocupaciones para las estatuas de Donald Trump,1,118,4
" El COVID-19 estÃ¡ dejando secuelas neurolÃ³gicas, cognitivas y motoras ",1,323,17
" Manaos, en Brasil, habrÃ­a alcanzado inmunidad de rebaÃ±o para COVID-19  ",1,328,19
 India rompe su propio rÃ©cord mundial con 83.883 casos de COVID-19 diarios ,1,329,18
" El 10,2% de enfermos graves tiene anticuerpos que empeoran COVID-19 ",1,329,19
 Once Caldas reporta 11 positivos por Covid-19 antes de partido clave de liga ,1,327,17
" ReinfecciÃ³n por la COVID-19 podrÃ­a ser mÃ¡s severa y mortal, asegura experta ",1,324,17
 China celebra âla derrotaâ de la COVID-19 sin contagios locales ,1,325,18
“Ni por la Covid-19 hay que renunciar al sexo”,1,120,4
 De mÃ©dico general a luchar en una UCI contra el COVID-19 ,1,325,19
" A partir de hoy, todos los mÃ©dicos de Santander que atienden a pacientes COVID-19 tienen hospedaje gratuito ",1,325,18
 Santandereano trabaja en el desarrollo de la vacuna contra el Covid-19 en Rusia  ,1,329,26
 Van 1013 indÃ­genas fallecidos por cuenta del COVID-19 ,1,327,17
 OMS espera vacunaciones masivas contra la COVID-19 hasta mediados de 2021 ,1,330,19
" Ni se ha comprobado que la leche materna prevenga la COVID-19, ni Patarroyo lo asegurÃ³ ",1,329,20
 El 78% de las personas fallecidas por COVID-19 en Bucaramanga son mayores de 60 aÃ±os ,1,327,17
 Â¿Me puedo contagiar de COVID-19 en una piscina? ,1,332,25
